seed,condition,seq_length,noise_rate,seq_id,queried_key,target_value,predicted_value,correct,distractor_leakage_events,mutex_violation_ticks,mean_firing_density
53253,active_associative,64,0.00,13,1,0,0,1,0,0,0.030059
57349,active_associative,64,0.00,14,11,0,0,1,0,0,0.032660
61445,active_associative,64,0.00,15,3,1,1,1,0,0,0.033056
65541,active_associative,64,0.00,16,8,0,0,1,0,0,0.025308
69637,active_associative,64,0.00,17,1,0,0,1,0,0,0.029323
73733,active_associative,64,0.00,18,3,1,1,1,0,0,0.028588
77829,active_associative,64,0.00,19,9,0,0,1,0,0,0.035489
81925,active_associative,64,0.00,20,10,1,1,1,0,0,0.027966
86021,active_associative,64,0.00,21,11,1,1,1,0,0,0.032547
90117,active_associative,64,0.00,22,4,1,1,1,0,0,0.033226
94213,active_associative,64,0.00,23,8,1,1,1,0,0,0.030568
98309,active_associative,64,0.00,24,0,1,1,1,0,0,0.036846
102405,active_associative,64,0.00,25,1,0,0,1,0,0,0.029550
106501,active_associative,64,0.00,26,10,0,0,1,0,0,0.023158
110597,active_associative,64,0.00,27,3,0,0,1,0,0,0.025703
114693,active_associative,64,0.00,28,7,1,1,1,0,0,0.032321
118789,active_associative,64,0.00,29,2,1,1,1,0,0,0.024855
122885,active_associative,64,0.00,30,13,0,0,1,0,0,0.030964
126981,active_associative,64,0.00,31,0,0,0,1,0,0,0.027174
131077,active_associative,64,0.00,32,0,1,1,1,0,0,0.036054
135173,active_associative,64,0.00,33,8,1,1,1,0,0,0.027174
139269,active_associative,64,0.00,34,2,1,1,1,0,0,0.035828
143365,active_associative,64,0.00,35,9,0,0,1,0,0,0.029437
147461,active_associative,64,0.00,36,4,1,1,1,0,0,0.030398
151557,active_associative,64,0.00,37,15,1,1,1,0,0,0.029154
155653,active_associative,64,0.00,38,0,0,0,1,0,0,0.028192
159749,active_associative,64,0.00,39,3,1,1,1,0,0,0.031812
163845,active_associative,64,0.00,40,8,1,1,1,0,0,0.030907
167941,active_associative,64,0.00,41,10,0,0,1,0,0,0.030002
172037,active_associative,64,0.00,42,1,1,1,1,0,0,0.025986
176133,active_associative,64,0.00,43,5,1,1,1,0,0,0.031925
180229,active_associative,64,0.00,44,5,1,1,1,0,0,0.032265
184325,active_associative,64,0.00,45,10,1,1,1,0,0,0.031529
188421,active_associative,64,0.00,46,12,1,1,1,0,0,0.032095
192517,active_associative,64,0.00,47,11,0,0,1,0,0,0.040466
196613,active_associative,64,0.00,48,6,0,0,1,0,0,0.029210
200709,active_associative,64,0.00,49,10,1,1,1,0,0,0.033848
204805,active_associative,64,0.00,50,8,0,0,1,0,0,0.029776
4102,active_associative,64,0.00,1,5,1,1,1,0,0,0.034414
8198,active_associative,64,0.00,2,3,0,0,1,0,0,0.031473
12294,active_associative,64,0.00,3,2,1,1,1,0,0,0.031869
16390,active_associative,64,0.00,4,3,0,0,1,0,0,0.028079
20486,active_associative,64,0.00,5,15,1,1,1,0,0,0.030115
24582,active_associative,64,0.00,6,8,0,0,1,0,0,0.025873
28678,active_associative,64,0.00,7,15,0,0,1,0,0,0.030115
32774,active_associative,64,0.00,8,11,0,0,1,0,0,0.037638
36870,active_associative,64,0.00,9,11,0,0,1,0,0,0.035206
40966,active_associative,64,0.00,10,14,1,1,1,0,0,0.031529
45062,active_associative,64,0.00,11,7,1,1,1,0,0,0.031190
49158,active_associative,64,0.00,12,12,1,1,1,0,0,0.031416
53254,active_associative,64,0.00,13,4,1,1,1,0,0,0.027457
57350,active_associative,64,0.00,14,0,1,1,1,0,0,0.035828
61446,active_associative,64,0.00,15,2,1,1,1,0,0,0.033792
65542,active_associative,64,0.00,16,5,0,0,1,0,0,0.035828
69638,active_associative,64,0.00,17,4,1,1,1,0,0,0.034527
73734,active_associative,64,0.00,18,11,1,1,1,0,0,0.025590
77830,active_associative,64,0.00,19,8,1,1,1,0,0,0.023780
81926,active_associative,64,0.00,20,1,1,1,1,0,0,0.037581
86022,active_associative,64,0.00,21,10,0,0,1,0,0,0.033735
90118,active_associative,64,0.00,22,0,1,1,1,0,0,0.029437
94214,active_associative,64,0.00,23,10,0,0,1,0,0,0.034414
98310,active_associative,64,0.00,24,15,0,0,1,0,0,0.027231
102406,active_associative,64,0.00,25,3,1,1,1,0,0,0.027004
106502,active_associative,64,0.00,26,7,1,1,1,0,0,0.029946
110598,active_associative,64,0.00,27,9,0,0,1,0,0,0.027457
114694,active_associative,64,0.00,28,15,1,1,1,0,0,0.031586
118790,active_associative,64,0.00,29,9,0,0,1,0,0,0.033113
122886,active_associative,64,0.00,30,15,0,0,1,0,0,0.022932
126982,active_associative,64,0.00,31,15,1,1,1,0,0,0.026495
131078,active_associative,64,0.00,32,8,1,1,1,0,0,0.029267
135174,active_associative,64,0.00,33,3,1,1,1,0,0,0.028305
139270,active_associative,64,0.00,34,13,1,1,1,0,0,0.033056
143366,active_associative,64,0.00,35,6,1,1,1,0,0,0.028305
147462,active_associative,64,0.00,36,4,0,0,1,0,0,0.030002
151558,active_associative,64,0.00,37,14,0,0,1,0,0,0.027513
155654,active_associative,64,0.00,38,6,1,1,1,0,0,0.023215
159750,active_associative,64,0.00,39,10,1,1,1,0,0,0.024572
163846,active_associative,64,0.00,40,8,0,0,1,0,0,0.024799
167942,active_associative,64,0.00,41,5,0,0,1,0,0,0.024346
172038,active_associative,64,0.00,42,2,0,0,1,0,0,0.033283
176134,active_associative,64,0.00,43,1,0,0,1,0,0,0.032774
180230,active_associative,64,0.00,44,0,0,0,1,0,0,0.035319
